[ 1] local::disk.partitions.write["vdb1"]
[ 2] local::disk.partitions.write_bytes["vdb1"]
[ 3] local::disk.partitions.read["vdb1"]
[ 4] local::disk.partitions.read_bytes["vdb1"]
[ 5] local::filesys.used["/dev/vdb1"]
[ 6] local::filesys.usedfiles["/dev/vdb1"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,  vdb1,  vdb1,  vdb1,  vdb1,/dev/v,/dev/v
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-08-07 21:11:01,     ?,     ?,     ?,     ?,66.22M,24.00 
2020-08-07 21:11:02, 0.00 , 0.00 , 0.00 , 0.00 ,66.23M,28.00 
2020-08-07 21:11:03, 1.00 ,32.79K, 0.00 , 0.00 ,66.22M,25.00 
2020-08-07 21:11:04, 0.00 , 0.00 , 0.00 , 0.00 ,66.22M,25.00 
2020-08-07 21:11:05,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:06,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:07,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:08,2.000000,58675.200000,0.000000,0.0,69436702.72,25.0,4
2020-08-07 21:11:09,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:10,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:11,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:12,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:13,10.990000,50298.880000,0.000000,0.0,69436702.72,25.0,5
2020-08-07 21:11:14,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:15,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:16,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:17,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:18,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:19,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:20,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:21,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
2020-08-07 21:11:22,0.000000,0.000000,0.000000,0.0,69436702.72,25.0,0
